,vdiff,pe,choice,rt
0,-5.0,0.0,0.019560918653692996,1.3448101064706033
1,-5.0,1.0,0.019560918653692996,1.3448101064706033
2,-5.0,2.0,0.019560918653692996,1.3448101064706033
3,-5.0,3.0,0.019560918653692996,1.3448101064706033
4,-5.0,4.0,0.019560918653692996,1.3448101064706033
5,-5.0,5.0,0.019560918653692996,1.3448101064706033
6,-5.0,6.0,0.019560918653692996,1.3448101064706033
7,-5.0,7.0,0.019560918653692996,1.3448101064706033
8,-5.0,8.0,0.019560918653692996,1.3448101064706033
9,-4.0,0.0,0.033735740365843515,1.5039473429906198
10,-4.0,1.0,0.033735740365843515,1.5039473429906198
11,-4.0,2.0,0.033735740365843515,1.5039473429906198
12,-4.0,3.0,0.033735740365843515,1.5039473429906198
13,-4.0,4.0,0.033735740365843515,1.5039473429906198
14,-4.0,5.0,0.033735740365843515,1.5039473429906198
15,-4.0,6.0,0.033735740365843515,1.5039473429906198
16,-4.0,7.0,0.033735740365843515,1.5039473429906198
17,-4.0,8.0,0.033735740365843515,1.5039473429906198
18,-3.0,0.0,0.06767586354788148,1.7178204874137102
19,-3.0,1.0,0.06767586354788148,1.7178204874137102
20,-3.0,2.0,0.06767586354788148,1.7178204874137102
21,-3.0,3.0,0.06767586354788148,1.7178204874137102
22,-3.0,4.0,0.06767586354788148,1.7178204874137102
23,-3.0,5.0,0.06767586354788148,1.7178204874137102
24,-3.0,6.0,0.06767586354788148,1.7178204874137102
25,-3.0,7.0,0.06767586354788148,1.7178204874137102
26,-3.0,8.0,0.06767586354788148,1.7178204874137102
27,-2.0,0.0,0.1433501027962237,1.9812876825422514
28,-2.0,1.0,0.1433501027962237,1.9812876825422514
29,-2.0,2.0,0.1433501027962237,1.9812876825422514
30,-2.0,3.0,0.1433501027962237,1.9812876825422514
31,-2.0,4.0,0.1433501027962237,1.9812876825422514
32,-2.0,5.0,0.1433501027962237,1.9812876825422514
33,-2.0,6.0,0.1433501027962237,1.9812876825422514
34,-2.0,7.0,0.1433501027962237,1.9812876825422514
35,-2.0,8.0,0.1433501027962237,1.9812876825422514
36,-1.0,0.0,0.288126483996883,2.2292243143773645
37,-1.0,1.0,0.288126483996883,2.2292243143773645
38,-1.0,2.0,0.288126483996883,2.2292243143773645
39,-1.0,3.0,0.288126483996883,2.2292243143773645
40,-1.0,4.0,0.288126483996883,2.2292243143773645
41,-1.0,5.0,0.288126483996883,2.2292243143773645
42,-1.0,6.0,0.288126483996883,2.2292243143773645
43,-1.0,7.0,0.288126483996883,2.2292243143773645
44,-1.0,8.0,0.288126483996883,2.2292243143773645
45,0.0,0.0,0.4990140114520546,2.335176894188487
46,0.0,1.0,0.4990140114520546,2.335176894188487
47,0.0,2.0,0.4990140114520546,2.335176894188487
48,0.0,3.0,0.4990140114520546,2.335176894188487
49,0.0,4.0,0.4990140114520546,2.335176894188487
50,0.0,5.0,0.4990140114520546,2.335176894188487
51,0.0,6.0,0.4990140114520546,2.335176894188487
52,0.0,7.0,0.4990140114520546,2.335176894188487
53,0.0,8.0,0.4990140114520546,2.335176894188487
54,1.0,0.0,0.7107238546502229,2.2292243143773645
55,1.0,1.0,0.7107238546502229,2.2292243143773645
56,1.0,2.0,0.7107238546502229,2.2292243143773645
57,1.0,3.0,0.7107238546502229,2.2292243143773645
58,1.0,4.0,0.7107238546502229,2.2292243143773645
59,1.0,5.0,0.7107238546502229,2.2292243143773645
60,1.0,6.0,0.7107238546502229,2.2292243143773645
61,1.0,7.0,0.7107238546502229,2.2292243143773645
62,1.0,8.0,0.7107238546502229,2.2292243143773645
63,2.0,0.0,0.8564222324870573,1.9812876825422514
64,2.0,1.0,0.8564222324870573,1.9812876825422514
65,2.0,2.0,0.8564222324870573,1.9812876825422514
66,2.0,3.0,0.8564222324870573,1.9812876825422514
67,2.0,4.0,0.8564222324870573,1.9812876825422514
68,2.0,5.0,0.8564222324870573,1.9812876825422514
69,2.0,6.0,0.8564222324870573,1.9812876825422514
70,2.0,7.0,0.8564222324870573,1.9812876825422514
71,2.0,8.0,0.8564222324870573,1.9812876825422514
72,3.0,0.0,0.9323088506414943,1.7178204874137102
73,3.0,1.0,0.9323088506414943,1.7178204874137102
74,3.0,2.0,0.9323088506414943,1.7178204874137102
75,3.0,3.0,0.9323088506414943,1.7178204874137102
76,3.0,4.0,0.9323088506414943,1.7178204874137102
77,3.0,5.0,0.9323088506414943,1.7178204874137102
78,3.0,6.0,0.9323088506414943,1.7178204874137102
79,3.0,7.0,0.9323088506414943,1.7178204874137102
80,3.0,8.0,0.9323088506414943,1.7178204874137102
81,4.0,0.0,0.9662639126073911,1.5039473429906198
82,4.0,1.0,0.9662639126073911,1.5039473429906198
83,4.0,2.0,0.9662639126073911,1.5039473429906198
84,4.0,3.0,0.9662639126073911,1.5039473429906198
85,4.0,4.0,0.9662639126073911,1.5039473429906198
86,4.0,5.0,0.9662639126073911,1.5039473429906198
87,4.0,6.0,0.9662639126073911,1.5039473429906198
88,4.0,7.0,0.9662639126073911,1.5039473429906198
89,4.0,8.0,0.9662639126073911,1.5039473429906198
90,5.0,0.0,0.9804390786911019,1.3448101064706033
91,5.0,1.0,0.9804390786911019,1.3448101064706033
92,5.0,2.0,0.9804390786911019,1.3448101064706033
93,5.0,3.0,0.9804390786911019,1.3448101064706033
94,5.0,4.0,0.9804390786911019,1.3448101064706033
95,5.0,5.0,0.9804390786911019,1.3448101064706033
96,5.0,6.0,0.9804390786911019,1.3448101064706033
97,5.0,7.0,0.9804390786911019,1.3448101064706033
