"","d_h","sig_h","t_h","bias_h","d_v","sig_v","t_v","bias_v","e_h","e_v"
"1",0.00147888942291914,0.00266079296690375,0.292998314873169,-0.0884812060361075,0.00240037196411497,0.0197143641719069,0.233636986876465,0.0374598642505448,0.000253713236794454,0.000309024407902073
"2",0.00212073136999921,0.0226764763078431,0.326361847761336,0.0484611508999189,0.0032600800254854,0.0260127022229669,0.642438239020289,0.0889492125703422,0.000255162656163412,0.000312894503722912
"3",0.00129693537254145,0.0111892131453899,0.296451749526457,0.0366009169119712,0.00169122165687662,0.0157125198798846,0.510327388728234,0.131564430014143,0.000254749055495702,0.000298170013149682
"4",0.00232397483849112,0.0171488566899332,0.486163093274847,-0.105149049656461,0.00351236989354982,0.0256211643117861,0.666534863634904,0.087798979856224,0.000254925523272593,0.000313758874258312
"5",0.0023335996798555,0.0145590999070344,0.588655790894187,0.0375798037318209,0.00254312062445999,0.0175913537559089,0.657500172443519,0.0795250330713611,0.000254385987026265,0.000362419099115438
"6",0.00259229092890791,0.0176110979475969,0.301687834208649,0.0167772557329524,0.00323331995241365,0.0224182062052866,0.387686244530288,0.0244110024386925,0.000254550417344181,0.000323537475715091
"7",0.00266972848978362,0.0204918485763627,-0.20601980699542,0.132716924328521,0.00333901921687483,0.0290155728206639,0.0847460512652848,0.0725504434715329,0.000255008757747298,0.000339405670104401
"8",0.00226804576573397,0.0146696358647837,0.135384697434677,0.013087584403785,0.00282259999964158,0.0185540584045643,0.295795832518674,-0.0155569173358192,0.000255039728774107,0.000307830445960071
"9",0.00124547387341225,0.00904153562573468,0.644831379759101,-0.0382210361136686,0.00195283289228432,0.0175947970673999,0.305347639874164,0.0756190228419418,0.000254840264865167,0.000356544918856234
"10",0.00246105909103009,0.0135549225511773,-0.0440861992380239,0.00667735509625333,0.0033333369196517,0.0205349327541848,0.438987723091502,-0.0154643097948454,0.000255124858850963,0.000323777484048562
"11",0.00205477989838793,0.019324364117946,0.37110042382325,0.0485033255484157,0.00300605482671927,0.0250377608523645,0.560223740103165,0.00946454193132462,0.000254824461193389,0.000323772184397205
"12",0.002482357463504,0.0111437279038022,0.115747642572711,0.0366479986534118,0.00315215480872171,0.024243718346143,0.548333222718689,0.0343833213902669,0.000254831007186693,0.000337942865367967
"13",0.00189671279994895,0.00543552931884611,0.180971813577115,-0.0471185036948552,0.00246540665941035,0.0142412848389561,0.608507736648142,0.0284801321595003,0.000254629556860914,0.000298123279234869
"14",0.00186365578943386,0.0122884821439328,0.41468538594405,0.0366251404755811,0.00213287472692763,0.0129199825071914,0.660107040703921,-0.0307037557997363,0.000254281295574158,0.000284975826351149
"15",0.00229338209068233,0.016825737380004,0.43941808469098,0.0230214821988046,0.00298874574831268,0.019878143578893,0.843704107167745,0.0241240714076332,0.000255163335855053,0.000386089746932634
"16",0.00247755636374093,0.0158787168675465,0.372030328158524,-0.0236208943401752,0.00300805327619849,0.0217684794113157,0.700074517621241,-0.00276832096460589,0.000255336191858645,0.000324805476758672
"17",0.00153026868789751,0.0106914954491069,0.328130152562015,0.0598321034499445,0.00194584276630557,0.0207740201379266,0.511363942508805,-0.0104271680284982,0.000255113565778205,0.00036362726010603
"18",0.0018220932096685,0.0128245832299965,0.832702380676704,0.144146298247928,0.00291026877647974,0.0190585780746213,1.06634824607446,0.112924890418352,0.000254728018998922,0.000301541827346628
"19",0.00193975966238959,0.0217140191469646,0.570207382802276,0.014474062515254,0.00253108388975695,0.0214630016775904,0.737432302252863,-0.0603974548261724,0.000255173718768549,0.000333137481700095
"20",0.00187166325769159,0.0156921858354773,0.190293769646444,0.0423339351867611,0.00221396484938915,0.0217579836571121,0.487508391012718,0.0399951585233729,0.000255293829081968,0.000341366730264166
"21",0.00224220920148326,0.0107379464143745,-0.180469976018358,0.0537173714900905,0.00349474605567067,0.017334184350823,0.302252258111028,0.0532127027294651,0.000255633757051867,0.000306282542801547
"22",0.00162392381125622,0.0214883169423023,0.952622865671606,0.0855834676568918,0.00281380531563237,0.0229090259696405,0.253562646008489,0.0493994901816359,0.000255028928009372,0.000317313224605555
"23",0.00251849831996171,0.0168000742689922,0.17402759788822,0.0827736652367883,0.0040838495634744,0.026444609469803,0.425670938913003,0.0110858304817683,0.000255510132336491,0.000318713434177694
